,meter_id,year,month,total_energy,mean_energy,total_generation
74,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,11,2058648.0,714.8083333333333,0.0
75,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,12,2147563.0,721.6273521505376,0.0
76,4a1c056f-204a-4cac-9d91-a4167f5416eb,2021,1,1931644.0,649.0739247311828,0.0
77,4a1c056f-204a-4cac-9d91-a4167f5416eb,2021,2,1713235.0,637.3642113095239,0.0
78,4a1c056f-204a-4cac-9d91-a4167f5416eb,2021,3,1889272.0,635.6904441453567,0.0
79,4a1c056f-204a-4cac-9d91-a4167f5416eb,2021,4,1501457.0,521.3392361111111,0.0
80,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,1,972774.0,326.87298387096774,0.0
81,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,2,869161.0,312.1986350574713,0.0
82,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,3,943674.0,317.52153432032304,0.0
83,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,4,893294.0,310.1715277777778,0.0
84,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,5,914562.0,307.3125,0.0
85,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,6,814003.0,282.63993055555557,0.0
86,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,7,888991.0,298.7200940860215,9339.2403
87,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,8,946835.0,318.15692204301075,1707.684
88,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,9,982256.0,341.06111111111113,6651.6944
89,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,10,1012684.0,340.28360215053766,2636.4139999999993
90,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,11,1028831.0,357.23298611111113,0.0
91,55f67963-bd4e-4d0c-b332-ba0566090f83,2020,12,1228405.0,412.77049731182797,0.0
92,55f67963-bd4e-4d0c-b332-ba0566090f83,2021,1,1214261.0,408.01780913978496,0.0
93,55f67963-bd4e-4d0c-b332-ba0566090f83,2021,2,961321.0,357.6343005952381,0.0
94,55f67963-bd4e-4d0c-b332-ba0566090f83,2021,3,994300.0,334.5558546433378,0.0
95,55f67963-bd4e-4d0c-b332-ba0566090f83,2021,4,882295.0,306.35243055555554,0.0
96,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,1,883809.0,296.9788306451613,0.0
97,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,2,763218.0,274.1443965517241,0.0
98,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,3,1024244.0,344.63122476446836,0.0
99,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,4,1130220.0,392.4375,0.0
100,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,5,1334303.0,448.35450268817203,0.0
101,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,6,1561256.0,542.1027777777778,0.0
102,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,7,1863808.0,626.2795698924731,40342.02319999999
103,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,8,2403386.0,807.5893817204301,42985.5006
104,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,9,1998952.0,694.0805555555555,0.0
105,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,10,1534389.0,515.5877016129032,6197.9052
106,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,11,997590.0,346.3854166666667,0.0
107,701575dd-cccf-40f8-a2da-c64a4d94495a,2020,12,1307922.0,439.4899193548387,0.0
108,701575dd-cccf-40f8-a2da-c64a4d94495a,2021,1,1216991.0,408.93514784946234,0.0
109,701575dd-cccf-40f8-a2da-c64a4d94495a,2021,2,959455.0,356.9401041666667,0.0
110,701575dd-cccf-40f8-a2da-c64a4d94495a,2021,3,1176437.0,395.8401749663526,0.0
111,701575dd-cccf-40f8-a2da-c64a4d94495a,2021,4,732797.0,254.44340277777778,0.0
112,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,1,519836.0,174.67607526881721,0.0
113,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,2,395890.0,142.20186781609195,0.0
114,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,3,425735.0,143.2486541049798,0.0
115,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,4,439817.0,152.71423611111112,0.0
116,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,5,631348.0,212.1465053763441,0.0
117,c03d8e30-ce2d-4172-a6de-b589c64f458d,2020,6,728810.0,253.05902777777777,0.0
